node1,node2,combined_score
ACADL,PYGL,0.494
ACADL,FABP4,0.473
ACADL,COX6C,0.497
ACADL,HMGCS2,0.513
ADCY4,PRKCB,0.608
ADCY4,PDE1C,0.744
ADH1B,CYP26A1,0.918
ADH1B,GPD1,0.418
ADH1B,LDHC,0.659
ADH1B,GSTA4,0.742
ADIPOQ,FABP4,0.869
ADIPOQ,PLIN1,0.827
ADIPOQ,CIDEA,0.681
ADIPOQ,FAM132A,0.426
ADIPOQ,TMEM26,0.471
AGR2,CEACAM6,0.445
AGR2,TFF1,0.769
AGR2,AGR3,0.766
AGR2,KLK5,0.536
AGR2,MUC1,0.442
AGR2,MUC5B,0.614
AGR2,TFF3,0.764
AGR3,NPTX2,0.54
AGR3,TFF1,0.502
AGR3,TFF3,0.634
ALDOC,PYGL,0.499
ALDOC,FABP4,0.411
ALDOC,GPD1,0.429
ALDOC,LDHC,0.821
AQP5,KRT14,0.415
AQP5,KRT5,0.535
AQP5,CHRM3,0.424
AQP5,PIP,0.757
AQP5,HOPX,0.443
BMPR1B,SOSTDC1,0.941
BMPR1B,ID1,0.529
CA9,CEACAM5,0.459
CA9,PGR,0.4
CA9,MUC1,0.444
CA9,MSLN,0.495
CD1C,LAMP3,0.681
CD1C,TLR1,0.488
CD1C,PSEN2,0.469
CD1C,CD1E,0.529
CD1C,IDO1,0.435
CD1C,CD48,0.438
CD1E,LAMP3,0.661
CD1E,FCRL2,0.635
CD48,CD84,0.761
CD48,SLAMF7,0.766
CD48,SLAMF6,0.821
CD48,MNDA,0.433
CD48,TIGIT,0.51
CD84,KCNMB1,0.505
CDK5RAP1,PLTP,0.653
CEACAM5,CEACAM6,0.467
CEACAM5,MUC6,0.504
CEACAM5,MUC16,0.505
CEACAM5,PGR,0.634
CEACAM5,KRT5,0.653
CEACAM5,MSLN,0.681
CEACAM5,PIP,0.71
CEACAM5,MUC1,0.874
CEACAM6,OLFM4,0.4
CEACAM6,TFF3,0.406
CEACAM6,MUC5B,0.415
CEACAM6,MUC1,0.453
CHAD,CLEC3A,0.428
CHAD,COL2A1,0.596
CHST2,FAM132A,0.54
CHST2,CHST4,0.828
CHST4,MUCL1,0.9
CHST4,MUC6,0.9
CHST4,MUC5B,0.9
CHST4,MUC16,0.904
CHST4,MUC1,0.911
CIDEA,FABP4,0.704
CIDEA,PLIN1,0.777
CIDEA,TMEM26,0.81
CLCA2,KRT5,0.433
CLCA2,KRT6B,0.454
