COX6C,MUC1,AGR2,POLR2B,LTF,NID1,KIAA0196,GFRA1,DYRK1A,SQLE,GFM1,RALB,PLTP,PYGL,KLF9,TFF3,IFIT3,CLCC1,KRT5,KRT17,HOOK2,PSEN2,PGR,CDK5RAP1,KRT14,AGR3,LRP2,EEF1A2,CEACAM6,PIP,BMPR1B,GSTA4,TFF1,FABP4,GABRP,MUC5B,PROM1,CP,ALDOC,ID1,EPSTI1,CD48,SLAMF7,COL17A1,TFAP2B,ADH1B,MUCL1,SCGB1D2,PLIN1,MNDA,TLR1,HOPX,ADIPOQ,CHAD,PIGR,ERN1,SYT13,ADCY4,KRT6B,CHST2,TMEM26,GPD1,LAMP3,ELF5,KCNJ2,KCNMB1,PRKCB,CD84,KRT81,IDO1,MMP1,CEACAM5,HMGCS2,KRT16,DNM3,TNFSF13B,SOX10,HAAO,CST1,SLAMF6,FAIM2,MUC16,CRABP1,KLK5,TIGIT,CLCA2,COL2A1,TAT,OLFM4,TCN1,TTYH1,MUC6,SYNGR3,SOSTDC1,KLK6,NPTX2,CLEC3A,AQP5,CD1C,LBP,KCNJ3,SYN2,KIF1A,CD1E,CRISP3,SCGB3A1,KLK11,KRT6A,CYTL1,CYP26A1,FABP7,GRIA2,SERPINA6,PDE1C,CIDEA,PVALB,MSLN,CST9,S100A7,NRTN,CYP4F8,FCRL3,FLG,ROPN1,CA9,CHRM3,TPO,WIF1,VSTM2A,ACADL,KCNC2,HRNR,NOTUM,CXCL5,LDHC,FCRL2,TNFSF14,FBXO39,CHST4,FCRL1,SNAP91,FAM132A,INA,label
14.5918,13.6249,12.148,10.7973,10.2915,10.1551,10.1509,9.3797,10.2277,9.9418,10.7127,10.7544,10.1509,9.2224,11.2059,14.6813,12.0085,10.0557,8.2188,6.8592,10.0507,9.469,8.2313,8.996,8.1611,11.888,12.8866,9.9798,14.3046,10.1096,13.3752,7.0068,13.7125,6.9101,5.9515,2.2489,4.5557,4.1159,6.108,8.4582,9.6135,8.6061,8.2025,5.9417,3.2865,5.902,3.5659,10.4675,4.3935,9.0124,8.0789,7.7782,2.9396,11.0986,3.016,5.8085,12.5265,8.1611,5.6736,7.0887,5.429,4.4496,6.311,3.5142,6.2958,6.6771,6.1678,7.1149,2.2489,6.2958,4.7693,8.9036,1.1706,6.4063,5.5506,6.5352,4.5299,5.344,0.875,6.2332,4.7245,0.5028,2.859,1.6253,5.7085,0.875,0,3.0885,5.0309,14.5669,3.5142,1.4158,2.9396,1.9705,1.4158,3.3469,0,0.875,4.7471,3.7108,11.4287,3.2235,1.8082,3.8838,2.6828,1.6253,0,6.0904,4.9936,1.1706,2.859,12.6978,6.2009,0.875,1.1706,7.4261,5.3141,3.4048,0.5028,3.0885,0.5028,4.1097,0.553,0.875,0.9297,0.5028,3.3469,0,0,1.1706,9.7399,1.9705,2.2489,1.1706,6.5156,2.7736,1.6253,0.875,0.875,0.875,0,0.5028,1.4158,2
12.7883,15.0434,13.718,11.1487,11.6714,11.5323,10.0512,12.8212,10.4545,10.734,9.9979,10.7603,10.063,8.5666,9.8743,12.6057,8.8821,9.6923,11.7442,12.408,10.2873,9.8907,11.1276,8.8579,12.198,10.1548,7.0506,9.5183,7.7392,11.5943,9.7694,8.1539,13.5956,6.3592,9.3103,6.1397,6.7625,8.4394,6.3519,7.8623,7.9662,7.8623,8.259,10.8004,11.0989,7.2676,12.0994,6.5496,6.3074,7.2637,6.695,7.9757,5.1262,9.5622,5.7427,7.7967,5.7202,8.0609,9.4198,7.4797,9.0716,3.9133,6.9187,5.3909,5.5649,7.9373,5.95,5.7648,8.2413,5.3476,7.9828,5.6387,11.6253,6.6541,6.556,5.2412,7.4527,7.3829,3.8732,5.9692,8.2094,3.2133,7.0596,8.3181,6.4977,9.6407,3.6054,12.3734,7.037,9.7022,3.2763,6.1141,5.6387,5.8909,6.5623,7.354,5.3766,2.4728,5.9787,9.4198,1.8001,5.0382,3.8732,5.6023,3.8318,6.2846,3.2133,5.4739,6.222,7.6107,6.2536,0.8699,5.2724,3.6054,0,5.9009,1.4087,4.5702,6.214,4.2319,12.2313,3.9524,3.8978,3.0785,3.1715,3.0785,5.1091,4.9636,5.1999,4.2941,0.4995,1.4087,3.3366,1.4087,0,2.9298,2.8492,2.1077,2.4728,1.6176,3.2763,4.1998,0.4995,2
11.4132,13.8181,9.8091,10.1496,16.5796,11.1963,10.228,8.9025,10.2106,10.2275,10.4429,11.0539,10.9322,10.2551,10.6872,7.6745,9.6187,9.4493,9.9268,10.5898,10.2849,9.4401,4.9004,9.6012,6.2093,2.3572,1.7967,9.5401,9.5772,13.4811,7.4308,7.1584,3.6492,4.2274,3.4994,10.1438,3.6959,7.9265,8.9597,7.606,8.5317,7.1914,7.0946,4.6391,10.9304,0.8677,12.4117,0.8677,5.3863,8.2167,7.657,6.493,0,4.8394,2.2361,7.4548,2.104,5.5853,8.9308,7.0726,5.3789,2.5725,4.5905,0.4981,6.5192,6.2332,5.634,7.2859,8.0893,5.7927,8.0038,9.6156,5.3282,11.4402,4.7316,6.3325,0.4981,5.634,2.8451,5.2365,6.3176,4.2588,5.0516,4.1289,5.9928,8.4676,0.8677,4.5403,0.8677,1.1616,2.2361,0,5.2207,0.4981,2.7598,7.0504,12.9195,0.4981,2.3572,7.129,6.0567,1.1616,3.4994,2.5725,6.2252,3.1432,1.6144,12.4419,3.3902,6.3026,7.7147,5.2365,1.7967,2.3572,0,6.1434,1.6144,0,13.2896,4.0231,8.9441,1.7967,7.7513,0,8.0876,2.104,2.104,0.4981,4.3463,0.4981,0,1.6144,2.5725,1.7967,1.4057,0,2.2361,0.8677,0.8677,0.4981,2.2361,8.1679,1.7967,0
16.2204,12.8331,12.6259,11.3759,7.169,10.9375,10.6729,11.8419,10.7739,10.2294,11.1898,9.5316,9.0145,7.4919,8.376,12.8644,7.7556,9.9006,6.5088,6.7672,9.9456,9.7978,9.1769,9.4709,6.4486,11.5965,10.419,13.1239,9.7197,1.3153,14.3994,8.5834,12.832,7.5418,4.7174,13.2513,1.85,4.1025,7.9176,7.1615,5.7607,6.4486,6.6276,6.1415,11.3839,6.006,10.2055,15.1568,5.7804,6.6913,5.7408,6.9302,5.955,10.2032,3.0128,5.6581,13.4393,7.5273,3.0778,6.7721,8.7799,5.3513,4.5441,1.85,6.3467,5.8565,5.242,5.4528,2.2393,4.0877,5.92,7.6817,2.3487,1.5164,5.0768,4.4973,2.2393,5.7508,9.1568,4.7376,5.9288,0,1.3153,1.0817,3.9555,0,8.8865,3.257,0.8026,0.8026,2.5455,15.177,5.3773,0.4565,0,3.4658,0,1.3153,2.7186,2.3487,10.2096,1.3153,0.8026,2.8732,0.4565,2.2393,0,0.8026,3.1997,1.5164,0,12.9837,8.0307,3.5598,2.1208,10.9378,2.9447,3.5136,0,0.4565,0,1.0817,3.6477,0.8026,4.1895,3.257,2.798,0,0,0,0.8026,0.8026,0.4565,0.4565,0,0,1.5164,0,0.8026,0,0,1.3153,0.8026,3
13.7221,12.2228,12.8448,11.1869,10.4231,11.5556,10.7882,12.3136,10.5448,9.3779,10.5125,10.513,10.6077,10.9972,10.524,11.1673,8.9714,9.5467,10.0323,9.9392,9.6506,9.1255,13.9528,8.6571,10.1635,10.681,13.1603,11.9432,6.4897,4.5049,4.0736,7.5145,10.1888,13.6016,8.1484,3.4938,6.4944,6.3279,7.991,8.6717,6.8685,8.6402,8.1106,9.1994,10.4976,13.2541,2.8977,4.6801,12.7887,6.9078,6.5361,7.1385,12.8813,10.6565,8.3051,6.2825,14.5165,7.713,6.2271,7.2895,9.3534,12.2301,7.3608,5.5103,6.7438,6.1986,7.4409,5.3222,4.6965,6.4991,4.0985,4.8657,1.1198,7.9573,6.1517,5.9746,6.8865,6.3567,10.3976,6.6458,5.6262,2.3522,4.3681,6.7159,6.6626,3.1569,5.4822,1.1198,4.2837,10.2896,2.2669,1.9756,4.5597,4.8802,4.9908,4.1471,0,4.1708,6.1928,4.8802,11.6814,6.1636,0.6659,5.3536,4.7288,7.2705,3.7032,3.1086,4.2837,6.2043,1.3025,3.2488,0.3711,3.6023,9.8347,7.711,0.9107,1.1198,1.9756,2.0794,9.3868,5.081,1.1391,2.0794,0,2.2669,3.1086,0.6659,11.8609,4.9639,0.3711,2.6506,2.0794,1.3025,0.6659,4.3265,2.2669,1.1198,0.9107,3.6367,1.6103,1.6103,0.6659,2
10.4752,12.6111,4.0418,12.2458,16.5483,10.8971,10.7987,8.4791,11.5021,10.2053,10.5404,10.4819,11.5307,9.6467,9.2963,2.5917,12.2596,9.7706,11.5644,8.2137,8.4665,9.2457,4.3733,9.2685,7.8009,0,7.1237,7.6424,5.2818,0.4718,3.5164,7.8428,0.4718,11.5742,14.308,10.8389,12.3715,6.6172,9.6363,7.7884,10.9446,9.8808,9.9847,3.3621,2.1638,11.765,6.8123,6.0523,10.4209,9.988,9.9608,6.5578,11.4024,2.2832,12.3622,7.4924,4.4262,7.4323,8.5328,8.0983,5.3789,9.8148,11.5663,9.7194,8.3118,6.8024,9.726,9.4526,6.4787,10.8883,9.4106,0,0,7.8331,4.2614,8.4036,0.4718,7.2242,9.031,9.122,5.2818,11.2994,12.8437,6.8944,9.177,3.1269,0.4718,2.496,4.6202,5.3242,6.8024,1.5528,5.3102,3.1269,7.7934,3.5643,0,3.6107,7.5767,13.1627,0,2.9931,11.7324,7.6972,0,0,2.9931,6.936,4.3184,2.6814,10.1292,0,0,2.7659,6.7201,1.1112,7.5109,0,4.4519,4.5264,0.4718,7.1475,3.6298,6.6159,5.6086,1.3489,3.6993,0,0,3.1269,0,3.0615,2.3935,7.8257,1.8904,5.2961,4.2902,2.6814,5.2674,6.2848,3.2493,2.6814,3.3621,4
13.1607,14.7622,14.519,10.2842,15.8816,10.2178,9.6489,13.3101,10.8164,10.0203,10.0692,11.3285,9.9348,12.3201,10.6188,13.5671,10.7346,9.9003,1.161,1.161,10.0128,9.3723,13.1637,9.6393,0.8672,13.1726,13.8707,11.9152,13.941,15.2271,11.4065,7.8968,13.3798,11.4891,1.161,11.6043,0.4977,8.8917,8.3271,8.099,8.9822,8.6087,7.1779,2.5715,0,10.6469,9.7993,15.4431,10.7582,8.6756,8.1667,7.6558,10.7766,8.905,1.405,5.7368,9.1061,7.3554,0,6.8727,7.3318,9.7845,6.7511,2.4679,6.66,6.2787,6.4448,7.0803,4.1942,5.6683,7.3912,12.1881,4.3186,4.3186,6.3533,6.4516,0,6.2081,7.7276,5.6448,10.47,5.0324,3.9849,0,4.4053,4.6849,2.2352,5.1374,0.4977,9.2996,2.3562,2.4679,4.7079,1.6136,0.4977,3.9078,17.4843,12.1836,3.2709,7.1235,5.6683,3.4984,2.2352,4.2263,0.8672,7.8538,9.6046,0,4.5391,2.7588,0,10.8968,9.4877,0.4977,7.1363,3.7399,4.4331,2.6682,0,1.161,2.3562,1.6136,1.6271,0,0.4977,0.4977,3.3312,0.8672,7.2499,3.55,7.8173,1.9576,0.4977,0.8672,2.6682,0.4977,2.2352,1.9576,1.405,1.161,0.8672,2.1031,0,2
14.3099,12.5387,14.6623,11.6508,13.5426,11.2393,11.3385,12.8046,11.0198,10.4381,10.5863,10.409,10.5572,10.5742,10.7515,7.8965,11.5482,9.9906,12.1034,10.5443,8.7389,10.254,11.0766,9.452,11.5196,11.8458,8.1765,9.3455,4.2189,11.9424,14.1508,9.2616,5.6931,14.0802,10.3535,4.7124,9.3482,7.5775,10.0072,7.7123,8.8041,10.3873,8.741,10.0839,6.7088,13.3775,8.7204,8.7481,12.8264,8.508,8.6091,7.0203,12.8447,8.3247,10.506,7.0701,1.4972,8.0891,7.9648,7.2217,7.6724,12.1877,8.8012,9.6073,6.3327,7.2158,9.5091,6.9298,4.4964,8.5751,3.4225,0.9346,7.6997,6.7003,6.0905,6.7663,8.6069,6.1778,7.0701,8.8542,4.2652,4.0171,5.1429,7.8983,8.008,4.9578,8.6835,8.5437,10.1067,6.084,5.7431,4.8855,7.1087,6.3596,6.3163,4.3101,0,4.7937,6.9653,5.3928,10.1198,7.6306,0.6849,6.4476,5.2845,4.1215,4.6084,3.5402,4.5347,3.1036,5.7834,5.7512,12.9093,4.332,9.1001,1.9008,6.116,6.5634,2.2159,2.5511,3.5402,5.7266,2.7597,5.0795,0.3827,1.7784,4.2189,4.7124,0.3827,5.0664,5.1304,3.4628,1.9008,1.7784,0.3827,5.9416,2.3933,2.5511,1.9008,5.8149,1.6446,1.1475,0.6849,2
12.7667,11.1654,12.9831,11.369,11.8735,11.4364,11.5033,12.7009,11.2072,11.5849,10.934,10.3237,9.1536,8.7656,9.3787,11.9193,10.0578,9.0429,8.7732,9.6229,9.4083,10.4338,5.2047,9.056,9.2051,9.305,9.2614,13.2705,3.7949,3.6959,14.2329,7.9462,11.0342,9.5353,8.7868,6.7073,6.2475,4.1814,7.5597,7.8942,7.6149,8.0016,7.5842,7.7659,10.4057,10.0346,4.6123,5.1683,10.15,6.9413,7.6418,7.843,10.6999,8.3063,6.7511,8.4668,10.5776,7.0604,6.1667,6.4584,5.1683,8.9352,8.325,4.6915,5.4369,5.3582,7.0047,6.0712,9.7776,7.1933,5.7398,0.9411,1.7224,6.3729,6.1481,6.2031,5.5545,5.3255,9.1927,6.6223,4.742,5.5115,7.6048,5.1118,6.6752,5.4215,1.9107,0.546,4.557,4.4698,4.4698,10.5041,7.5023,2.7048,7.2203,2.3617,2.0772,1.2509,3.8875,2.7048,11.4268,5.1683,3.7463,4.557,2.2265,1.7224,0,1.9107,3.6959,1.5058,0.546,0,0,3.2141,5.4521,2.8032,2.0772,3.7463,6.9995,4.1715,9.6238,5.1497,2.2265,0.546,0,2.4854,2.4854,1.5058,1.9177,2.3617,0,2.8032,2.0772,0.9411,1.2509,2.7048,2.9818,3.0635,0,3.0635,0.9411,1.5058,0.9411,2
13.747,16.2432,13.5541,9.5485,15.455,10.0441,9.1755,12.6012,9.9517,8.5857,9.1949,10.2976,10.447,9.447,9.5783,14.5966,9.2504,9.32,11.2598,11.9205,10.4721,10.1706,11.8636,9.445,13.0587,11.693,10.6228,11.1595,7.2058,13.3511,6.1276,7.076,16.6583,11.1381,9.2469,12.4058,8.3049,6.1383,7.571,10.0055,7.1671,9.2892,9.1718,9.5122,10.2068,9.92,12.3685,7.3294,9.8307,7.1866,5.3079,9.0666,8.9503,8.1398,9.4071,3.7769,5.6683,9.013,8.3138,7.0707,8.1913,9.8824,7.0009,7.5258,5.5378,6.7022,7.0707,3.6137,9.4267,7.076,3.6137,5.0126,9.4195,7.9157,6.8684,5.9901,8.0863,8.1297,3.9693,7.4672,7.3683,7.1573,6.3513,7.7422,7.1866,3.7769,4.139,7.7747,6.6818,7.7715,6.5374,1.5632,6.4105,4.899,5.6403,5.7622,2.8785,4.6124,5.6958,0.5741,0.9837,6.2805,2.1445,5.1381,6.8562,13.5465,5.5071,1.3023,5.0767,4.9683,4.8013,0,5.5378,1.9755,8.0601,1.3023,4.0136,1.5632,11.5616,5.6261,7.2248,5.1381,0.5741,4.1785,0.9837,0,5.3256,6.9159,0.5741,2.8785,0.5741,2.2958,5.9335,2.2958,4.7758,3.9235,0,2.9714,2.9714,1.3023,1.784,6.2061,0.5741,2
