node1,node2,combined_score
A2ML1,LRP1B,0.419
A2ML1,DSC3,0.434
A2ML1,COL17A1,0.505
A2ML1,KLK6,0.756
ABCA12,CYP4F22,0.839
ABCA12,KLK5,0.418
ABCA12,ABCC8,0.423
ABCA12,CASP14,0.511
ABCA12,FLG,0.519
ABCA12,ID1,0.548
ABCC8,KCNJ2,0.473
ABCC8,KCNJ3,0.646
ABCC8,RYR2,0.429
ABCC8,CHGB,0.498
ABCC8,KCNJ16,0.499
ACADL,PYGL,0.494
ACADL,PLIN4,0.407
ACADL,FABP4,0.473
ACADL,COX6C,0.497
ACADL,HMGCS2,0.513
ACADL,PCK1,0.536
ACADL,ACOX1,0.936
ACOX1,FABP4,0.604
ACOX1,PLIN1,0.469
ACOX1,CIDEA,0.47
ACOX1,ADIPOQ,0.518
ACOX1,HMGCS2,0.627
ACOX1,PCK1,0.638
ADAMTS12,THBS2,0.926
ADCY4,PRKCB,0.608
ADCY4,PDE1C,0.744
ADH1B,CYP26A1,0.918
ADH1B,GPD1,0.418
ADH1B,LDHC,0.659
ADH1B,GSTA4,0.742
ADH1B,GSTA1,0.767
ADH1B,ALDH1A3,0.785
ADIPOQ,FABP4,0.869
ADIPOQ,PLIN1,0.827
ADIPOQ,PCK1,0.551
ADIPOQ,CIDEA,0.681
ADIPOQ,FAM132A,0.426
ADIPOQ,DLK1,0.502
ADIPOQ,PYY,0.637
ADIPOQ,RBP4,0.808
ADIPOQ,LCN2,0.56
ADIPOQ,TMEM26,0.471
ADIPOQ,ESR1,0.505
AEBP1,WFDC2,0.499
AEBP1,THBS2,0.577
AGBL2,FLG,0.633
AGR2,CEACAM6,0.445
AGR2,SLC44A4,0.448
AGR2,TFF1,0.769
AGR2,AGR3,0.766
AGR2,KLK5,0.536
AGR2,WFDC2,0.515
AGR2,MUC1,0.442
AGR2,ESR1,0.589
AGR2,MUC5B,0.614
AGR2,TFF3,0.764
AGR3,NPTX2,0.54
AGR3,TFF1,0.502
AGR3,ESR1,0.447
AGR3,TFF3,0.634
AKR1B1,FAF2,0.405
AKR1B1,GPD1,0.408
AKR1B1,PRKCB,0.456
AKR1B1,MT1A,0.471
