EZR,CXCR4,S100A4,PDGFRB,ERMN,FA2H,RHOQ,ANLN,YES1,KIF1C,TRIP10,INPPL1,PACSIN3,APLN,HSPB2,MICALL1,COL6A2,RBP4,DOCK1,ERBB3,TMCC3,CLCA4,SCD,NFKBIA,ADORA2A,UGT8,MUC1,TF,KIF5B,ITPKB,PREX1,CYB5R2,TGFB1I1,ARAP1,SMTN,NES,GLI1,KIF5A,FLT3LG,SLC25A18,VEZF1,NDE1,SERHL2,PLEKHM2,KIF13B,IP6K3,PLXNB1,HSPA2,GALNT6,LSS,SLC45A3,MAP4K4,PRX,EBF4,DOCK5,RASGRP3,PPFIBP2,TCF15,CSRP1,CRB2,MYOT,PCOLCE,COL5A3,PLEKHB1,SLCO1A2,C10orf90,ASCL1,GIPR,MCM7,CPM,PLEKHG3,AIFM3,ADIPOR2,label
0.59281538,0.18700208,0.20534313,0.40665489,0.52706156,0.4216068,0.50505212,0.40020659,0.25307787,0.5595751,0.33622826,0.49206595,0.40252035,0.31625205,0.29687301,0.26282583,0.24352043,0.4929932,0.3591418,0.43145998,0.19803917,0.09715244,0.65937771,0.56150976,0.30554349,0.36580276,0.23079895,0.76897471,0.57432836,0.5893255,0.51805691,0.27340683,0.18784829,0.49102273,0.37107303,0.35076256,0.13100504,0.85466461,0.19764464,0.64117625,0.3220179,0.33793214,0.19685245,0.67839278,0.29666996,0.18138132,0.624314,0.59000737,0.18094003,0.55318064,0.21373078,0.6002751,0.27077078,0.38004398,0.29908841,0.23174455,0.26857877,0.06038695,0.8515151,0.31464001,0.1940461,0.28527296,0.50729175,0.85424691,0.3120972,0.22065912,0.42763031,0.07990132,0.43178839,0.2351613,0.42507858,0.65408983,0.48022703,0
0.5996653,0.3314797,0.4810541,0.4335818,0.5154143,0.4025203,0.5393049,0.4036143,0.2463957,0.6017494,0.463505,0.4563777,0.4060712,0.4271235,0.4053874,0.2773911,0.3447064,0.3714424,0.336384,0.4451908,0.1980392,0.1272502,0.6488748,0.6572634,0.3894889,0.3504797,0.2931752,0.7350429,0.642776,0.5783366,0.5184241,0.3354473,0.2653545,0.5110476,0.536205,0.4189488,0.1575394,0.8465915,0.2369925,0.6623196,0.3311577,0.2996869,0.2710124,0.7179688,0.2519848,0.1328475,0.6154552,0.5710487,0.2075772,0.5006759,0.2165409,0.6238179,0.3041974,0.4196623,0.2646004,0.2750603,0.3243981,0.2354681,0.938113,0.2653545,0.2301652,0.3036168,0.5687451,0.8773958,0.3376238,0.218957,0.4538534,0.2602535,0.4984911,0.3346622,0.396719,0.6678499,0.4870584,1
0.52110435,0.15857007,0.173231,0.38562605,0.44563982,0.32321278,0.43495297,0.29150176,0.20231132,0.44300111,0.20868173,0.45135742,0.33591636,0.31228028,0.2722144,0.2108666,0.25032996,0.55013697,0.2893832,0.34544041,0.18443421,0.09792612,0.65584911,0.4743052,0.2057178,0.3174939,0.14957318,0.69018962,0.52329424,0.45933786,0.46076241,0.29044625,0.14230674,0.45278879,0.26560498,0.35356213,0.10022333,0.89609958,0.12274654,0.54335322,0.30381057,0.22920947,0.19118585,0.65971537,0.26077156,0.11120613,0.51952018,0.48216927,0.11877477,0.50944952,0.14173282,0.55190474,0.19803917,0.3096965,0.23237164,0.15650153,0.23423721,0.05222422,0.74687082,0.24322983,0.12725024,0.21014187,0.43203422,0.76363823,0.28680049,0.16993694,0.30458325,0.0553379,0.39261537,0.17182817,0.37604397,0.54763385,0.41227566,1
0.63363009,0.17135761,0.27340683,0.45776184,0.47436683,0.34920007,0.51911009,0.3591418,0.30342273,0.58253811,0.2942116,0.49391471,0.37508698,0.24147422,0.29707577,0.2298473,0.32789868,0.44070154,0.38371302,0.38039182,0.17369569,0.10907341,0.62300241,0.5623654,0.29524085,0.32839211,0.18182129,0.65284957,0.59186659,0.59741683,0.51518024,0.19843265,0.21158783,0.49558058,0.3891617,0.3937843,0.13162174,0.91593274,0.21158783,0.67564288,0.34920007,0.28852726,0.18138132,0.70997911,0.30573479,0.08587649,0.65500871,0.53502055,0.07548163,0.52878185,0.17645378,0.6036238,0.28284045,0.35062119,0.28636565,0.170412,0.28461348,0.10323217,0.86032817,0.378175,0.18049744,0.27149434,0.49648627,0.85566332,0.32236027,0.18700208,0.40953941,0.07548163,0.3998005,0.25334989,0.38629541,0.6623022,0.47362557,0
0.49611401,0.14287846,0.0413484,0.35967513,0.52903819,0.3859611,0.39504913,0.28239388,0.16510104,0.50827643,0.24582504,0.43211607,0.32389129,0.2893832,0.30988255,0.23577419,0.22888953,0.56670404,0.30264399,0.41850116,0.15753939,0.08163311,0.59714688,0.50639994,0.20496751,0.3085753,0.23174455,0.67015151,0.50649929,0.51494581,0.48807347,0.29023425,0.12725024,0.46462755,0.35411578,0.31006837,0.05222422,0.79837291,0.15908275,0.57268163,0.25737172,0.24176826,0.17690853,0.65828846,0.2817215,0.06812544,0.56779392,0.57059728,0.11120613,0.46730052,0.22267629,0.56808978,0.21122765,0.3467526,0.25550838,0.15805562,0.26154523,0.09792612,0.83408474,0.255776,0.1405783,0.20720714,0.4853511,0.81534916,0.36656717,0.25115967,0.26128779,0.05222422,0.40281951,0.23143002,0.39837041,0.59444761,0.45300231,0
0.53460993,0.15908275,0.12143435,0.34704263,0.45207483,0.30763447,0.46852313,0.26759409,0.22663049,0.46062733,0.29988591,0.46217347,0.33685011,0.2108666,0.29086935,0.22300985,0.18657716,0.5704034,0.32855622,0.32590846,0.15908275,0.0563615,0.57175529,0.50216604,0.19485332,0.30166481,0.13882956,0.62826859,0.50861954,0.53337123,0.47602132,0.23759788,0.14287846,0.45602964,0.29888836,0.3096965,0.13706004,0.86911068,0.11742695,0.59400674,0.32439815,0.19960689,0.18138132,0.67298747,0.2494956,0.07637612,0.56683657,0.48632097,0.094807,0.50046922,0.11469417,0.56412954,0.13526925,0.3257414,0.2144383,0.15545638,0.21301988,0.04796871,0.76542966,0.27968594,0.12011049,0.26560498,0.42473502,0.78630319,0.2147908,0.16559176,0.30668766,0.06622819,0.36374493,0.16510104,0.33403111,0.58481555,0.4261897,0
0.6544397,0.2435204,0.364906,0.4330135,0.5104684,0.3445591,0.5608217,0.4107722,0.2891697,0.5895247,0.4326878,0.5089619,0.4037134,0.5017052,0.3559011,0.254433,0.3412825,0.29667,0.3966152,0.3596751,0.1694604,0.1017353,0.6985987,0.5986256,0.3583382,0.3242294,0.265605,0.6460221,0.6242464,0.6496745,0.5467269,0.256576,0.196056,0.4729428,0.5030327,0.373882,0.1932345,0.8757944,0.2256517,0.7049554,0.3078231,0.2717348,0.318023,0.7042068,0.2796859,0.1024856,0.6483201,0.5724267,0.1451436,0.4636375,0.2011583,0.6498642,0.2714943,0.3619207,0.2910805,0.1924184,0.2863657,0.0986958,0.927939,0.3490572,0.2317446,0.3255742,0.5901774,0.9006892,0.3185502,0.1826974,0.4168784,0.2269553,0.4505643,0.292967,0.380276,0.6581271,0.4708125,1
0.47492037,0.04247242,0.24147422,0.30611667,0.53862606,0.3634857,0.4710647,0.38314566,0.19843265,0.4278831,0.29605917,0.40192022,0.36858662,0.29234082,0.31802296,0.18005353,0.22695531,0.53685447,0.26906868,0.37412379,0.16361911,0.10173534,0.6344316,0.54774683,0.17916171,0.36007388,0.2731691,0.77616279,0.53005915,0.48187662,0.44481554,0.35549097,0.16656837,0.40848823,0.2893832,0.3068775,0.04688556,0.81156827,0.18443421,0.55009992,0.25684171,0.21619253,0.24611063,0.61401459,0.23330734,0.12597731,0.51527391,0.54155883,0.16161999,0.45314449,0.19445026,0.5422245,0.12976393,0.32439815,0.22400606,0.17554008,0.2494956,0.06527042,0.80585044,0.20646433,0.18049744,0.22888953,0.35507975,0.78856218,0.32081335,0.20496751,0.31696294,0.11606683,0.37400295,0.20269369,0.37460616,0.57391838,0.45796836,0
0.57676481,0.20421342,0.21194713,0.42134313,0.5028801,0.38696177,0.46456175,0.30186117,0.25005236,0.53563437,0.25389245,0.47632569,0.40972974,0.32270186,0.29888836,0.23850142,0.33115773,0.51676464,0.33961674,0.39734045,0.192827,0.09637473,0.70420676,0.50793254,0.26205879,0.34233291,0.19118585,0.69269998,0.54112652,0.5551996,0.51095121,0.29646664,0.2144383,0.48975003,0.32133078,0.37278915,0.06430645,0.80580385,0.19645476,0.64404348,0.30381057,0.2494956,0.17690853,0.66336259,0.29317518,0.06717983,0.60915926,0.54009967,0.11606683,0.50379318,0.19605602,0.56643862,0.22499565,0.37663899,0.255776,0.17690853,0.24381046,0.09401691,0.82246212,0.32888391,0.11469417,0.26434815,0.51138437,0.83315701,0.3174939,0.20383494,0.33716006,0.07637612,0.3880658,0.23880138,0.4278831,0.64745527,0.42897357,0
0.52302781,0.09637473,0.2144383,0.41742128,0.47927614,0.3556278,0.44983953,0.32756882,0.23143002,0.49911859,0.3211585,0.46762323,0.3591418,0.31117843,0.29585501,0.23820085,0.32888391,0.48846636,0.3486278,0.37981164,0.18182129,0.12404727,0.57998295,0.55936631,0.26257059,0.33387293,0.25362142,0.65568506,0.53648949,0.60190653,0.49807124,0.23143002,0.18700208,0.44489066,0.35671789,0.3486278,0.09715244,0.85843298,0.19685245,0.62888121,0.29848747,0.24977424,0.19999626,0.68872129,0.29768242,0.07726527,0.57998295,0.56560613,0.11330874,0.49364427,0.18182129,0.57870403,0.29359061,0.34529389,0.28149669,0.16361911,0.23330734,0.12661513,0.8266175,0.29687301,0.12143435,0.26660285,0.49162759,0.82921099,0.29441802,0.20115829,0.32756882,0.06430645,0.40051043,0.22267629,0.38291811,0.62918658,0.45114153,1
